group,steps,failures,avg_score,fatigue,completed
static,24,21,0.528178878715824,1.0,False
static,30,26,0.5506165314103659,1.0,False
static,25,22,0.549962758798138,1.0,False
static,21,18,0.5480848560714153,1.0,False
static,16,14,0.5163531195853088,1.0,False
static,13,12,0.536776091398841,1.0,False
static,13,12,0.5428660967325845,1.0,False
static,22,19,0.526231772438294,1.0,False
static,21,19,0.5077978930717215,1.0,False
static,15,13,0.5453447011342575,1.0,False
static,26,23,0.5881995716987306,1.0,False
static,13,12,0.509356196764618,1.0,False
static,16,15,0.5473675184845508,1.0,False
static,15,12,0.5903452758793989,1.0,False
static,12,7,0.6029729705636931,0.0,True
static,26,23,0.5440002278102937,1.0,False
static,17,14,0.498415079745047,1.0,False
static,21,19,0.5076920229511233,1.0,False
static,20,17,0.5825384422184336,1.0,False
static,19,16,0.5505805518934245,1.0,False
static,24,21,0.4965723428364522,1.0,False
static,23,20,0.5157892165464386,1.0,False
static,30,27,0.5518600716581955,1.0,False
static,25,22,0.5562660563835857,1.0,False
static,12,7,0.6506702993359142,0.07,True
static,37,33,0.5204441178698321,1.0,False
static,36,32,0.5293927626613047,1.0,False
static,16,11,0.63769864827985,0.2699999999999999,True
static,24,21,0.5417896544355308,1.0,False
static,27,22,0.5681104200943374,0.6,True
static,15,12,0.5671543397797655,1.0,False
static,18,15,0.5711618927898408,1.0,False
static,27,23,0.5562830902456013,1.0,False
static,15,13,0.5356227741391725,1.0,False
static,19,17,0.5291474576121921,1.0,False
static,23,20,0.5345893493473293,1.0,False
static,29,26,0.5430561645100918,1.0,False
static,23,18,0.5599946358543085,0.6,True
static,30,25,0.5362285726265739,0.6,True
static,17,15,0.5813992001440672,1.0,False
static,26,23,0.5317827488853479,1.0,False
static,20,17,0.5313781438479493,1.0,False
static,18,15,0.5980739564394866,1.0,False
static,24,22,0.4969398852738777,1.0,False
static,20,17,0.5407905732422098,1.0,False
static,17,15,0.539808097594512,1.0,False
static,17,14,0.6477296594256434,1.0,False
static,38,34,0.5181618752419127,1.0,False
static,18,15,0.577653855901979,1.0,False
static,16,13,0.5686933760246939,1.0,False
